client_id,mobile_no,teamrank,team,bib,name,distance,gender,chiptime,starttime,split1distance,split1,split2distance,split2,split3distance,split3,split4distance,split4
1,2591868124,36,Team 2,1000,Siddharth Lad,10K,Male,01:37:20,06:00:00,5K,00:31:57,10K,01:45:19,15K,01:40:38,20K,02:24:40
2,9501573692,4,Team 7,1001,Tanmayi Srinivasan,Half,Female,01:23:31,06:00:00,5K,00:39:41,10K,01:51:36,15K,01:47:43,20K,02:03:54
3,4362852486,18,Team 9,1002,Chaaya Doshi,Half,Female,01:10:57,06:00:00,5K,00:27:45,10K,01:39:46,15K,01:47:21,20K,02:05:11
4,2568586928,32,Team 7,1003,Ishita Amble,5K,Female,02:57:55,06:00:00,5K,00:30:57,10K,01:21:56,15K,01:37:56,20K,02:06:53
5,288558797,46,Team 4,1004,Nikita Venkatesh,10K,Female,01:38:45,06:00:00,5K,00:42:47,10K,01:29:20,15K,01:45:18,20K,02:03:49
6,3557199845,41,Team 6,1005,Rachana Dara,Full,Female,01:13:14,06:00:00,5K,00:51:23,10K,01:55:13,15K,01:31:52,20K,02:09:53
7,4589301954,33,Team 6,1006,Omaja Hora,Half,Female,02:19:16,06:00:00,5K,00:46:39,10K,01:38:49,15K,01:51:51,20K,02:06:10
8,9382110730,34,Team 6,1007,Vaishnavi Patla,5K,Female,01:42:55,06:00:00,5K,00:28:24,10K,01:22:16,15K,01:51:52,20K,02:27:33
9,1359978094,40,Team 2,1008,Yashica Kadakia,Half,Female,02:14:22,06:00:00,5K,00:22:21,10K,01:54:46,15K,01:38:18,20K,02:16:33
10,6269254898,9,Team 4,1009,George Badal,5K,Male,02:27:44,06:00:00,5K,00:55:46,10K,01:15:31,15K,01:47:12,20K,02:08:49
11,4360349222,28,Team 6,1010,Ria Ramesh,Full,Female,01:23:55,06:00:00,5K,00:34:10,10K,01:48:13,15K,01:35:24,20K,02:19:12
12,889733798,26,Team 4,1011,Arjun Sheth,Half,Male,02:28:57,06:00:00,5K,00:57:28,10K,01:36:21,15K,01:49:43,20K,02:29:37
13,4898760956,36,Team 6,1012,Onkar Grewal,10K,Male,01:39:12,06:00:00,5K,00:51:53,10K,01:45:18,15K,01:30:44,20K,02:29:31
14,3199581749,44,Team 9,1013,Balveer Narula,Full,Male,01:39:34,06:00:00,5K,00:29:36,10K,01:36:30,15K,01:56:42,20K,02:05:43
